Species Name,Kingdom,Phylum,Class,Order,Family,Genus,Species
Agaricus calyptrodermus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,
Amanita amerivirescens,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,
Amanita subcokeri,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,
Astroboletus americanus,,,,,,,
Butyriboletus fibrillosus,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Butyriboletus,
Entoloma salmonicolor,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,
Helvella crispa,Fungi,,,,,,
Helvella lacustris,Fungi,Ascomycota,Pezizomycetes,Pezizales,Helvellaceae,Helvella,
Hydnum aerolatum,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Hydnum,
Hydnum hoopaiense,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Hydnum,
Lycoperdon pulcherrimum,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lycoperdaceae,Lycoperdon,
Phaeocollybia pluteoides,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Phaeocollybia,
Phellodon perangustus,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Phellodon,
Phylloporus leucomyces,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Phylloporus,
Rubroboletus subluridellus,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Rubroboletus,
Suillellus luridiformis,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Suillellus,
